meeting_date,mro_rate,dfr_rate,mlf_rate,mro_change_bp,dfr_change_bp,mlf_change_bp,mro_decision,dfr_decision,mlf_decision,bulletin,bulletin_pub_date,account_previous,account_pub_date
1999-03-04,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
1999-03-18,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
1999-04-08,2.5,1.5,3.5,-50,-50,-50,cut,cut,cut,,,,
1999-04-22,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-05-06,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-05-20,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-06-02,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-06-17,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-07-01,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-07-15,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-07-29,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-08-26,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-09-09,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-09-23,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-10-07,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-10-21,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
1999-11-04,3.0,2.0,4.0,50,50,50,hike,hike,hike,,,,
1999-11-18,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
1999-12-02,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
1999-12-15,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
2000-01-05,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
2000-01-20,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
2000-02-03,3.25,2.25,4.25,25,25,25,hike,hike,hike,,,,
2000-02-17,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2000-03-02,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2000-03-16,3.5,2.5,4.5,25,25,25,hike,hike,hike,,,,
2000-03-30,3.5,2.5,4.5,0,0,0,hold,hold,hold,,,,
2000-04-13,3.5,2.5,4.5,0,0,0,hold,hold,hold,,,,
2000-04-27,3.75,2.75,4.75,25,25,25,hike,hike,hike,,,,
2000-05-11,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2000-05-25,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2000-06-08,4.25,3.25,5.25,50,50,50,hike,hike,hike,,,,
2000-06-21,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2000-07-06,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2000-07-20,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2000-08-03,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2000-08-31,4.5,3.5,5.5,25,25,25,hike,hike,hike,,,,
2000-09-14,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2000-10-05,4.75,3.75,5.75,25,25,25,hike,hike,hike,,,,
2000-10-19,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2000-11-02,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2000-11-16,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2000-11-30,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2000-12-14,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-01-04,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-01-18,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-02-01,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-02-15,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-03-01,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-03-15,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-03-29,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-04-11,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-04-26,4.75,3.75,5.75,0,0,0,hold,hold,hold,,,,
2001-05-10,4.5,3.5,5.5,-25,-25,-25,cut,cut,cut,,,,
2001-05-23,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2001-06-07,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2001-06-21,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2001-07-05,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
