h,beta_pos,beta_neg,se_pos,se_neg,ci_pos_lo,ci_pos_hi,ci_neg_lo,ci_neg_hi,wald_stat,wald_pval,asymmetric,nobs
0,-0.06299964271523106,0.10078558043796641,0.07325994769082726,0.07115598679507358,-0.2065891401892525,0.08058985475879038,-0.03868015368037779,0.2402513145563106,1.9065708683135438,0.1673446701716369,False,224
1,-0.25631903331059264,0.2091001231589925,0.13754509230760728,0.13500490949869456,-0.525907414233503,0.013269347612317628,-0.05550949945844885,0.4737097457764339,3.9985078454911926,0.04554056411788776,True,180
2,-0.1694258605933335,0.16403961797311528,0.11335385480914448,0.1856028029018529,-0.3915994160192567,0.052747694832589676,-0.1997418757145164,0.527821111660747,1.7960089521055935,0.1801957429498513,False,218
3,-0.21775779981126286,0.17371974288537326,0.17380878540623332,0.20996590833716544,-0.5584230192074802,0.12290741958495444,-0.23781343745547098,0.5852529232262175,1.5949199635450708,0.20662461427945322,False,217
4,-0.4829271699581065,0.30426998925508475,0.25385341753380253,0.23677150366121205,-0.9804798683243594,0.01462552840814646,-0.15980215792089086,0.7683421364310603,3.8543209782825634,0.04961800719090359,True,182
5,-0.5041408038753373,0.19904765401205182,0.17283188624196477,0.26641106608856796,-0.8428913009095882,-0.1653903068410864,-0.3231180355215414,0.721213343545645,3.6908838426651,0.05471061766089125,True,215
6,-0.7772960265182388,0.3813155059150361,0.25481445068501113,0.2923760707998526,-1.2767323498608607,-0.27785970317561703,-0.19174159285267506,0.9543726046827472,6.14768431864275,0.013158428332921246,True,214
7,-0.8200350419188168,0.5947799604981018,0.312309954367143,0.3297988119768857,-1.4321625524784172,-0.20790753135921658,-0.051625710976594186,1.2411856319727979,8.012868354319721,0.004644611239504659,True,182
8,-0.6751930667705818,0.3659685316559837,0.22664550025073493,0.33421925315046114,-1.1194182472620222,-0.23096788627914133,-0.28910120451892013,1.0210382678308876,5.9245986272113305,0.014930939005412869,True,213
9,-0.8568488802554759,0.4797459718943303,0.30218417437199196,0.346063380731079,-1.4491298620245803,-0.26456789848637163,-0.19853825433858452,1.1580301981272452,6.83809339569869,0.008923402938652236,True,212
10,-0.852983420402827,0.38859306457926424,0.4864209012726122,0.2977809273691101,-1.806368386897147,0.10040154609149288,-0.1950575530641916,0.9722436822227201,3.906912493915383,0.048087865624319104,True,180
11,-0.7788224920376892,0.3365432258692026,0.4035772663841069,0.38023325495064625,-1.5698339341505387,0.012188950075160299,-0.40871395383406406,1.0818004055724693,3.119261349913465,0.07737184894485649,True,212
12,-0.7840026178338828,0.27316599836871786,0.39035891400519684,0.3366012596168712,-1.5491060892840687,-0.018899146383697052,-0.38657247048034965,0.9329044672177853,3.2664518666611486,0.07071040409340323,True,211
13,-1.2652692998511748,0.20129876092273039,0.6760068979869643,0.2475286346069564,-2.590242819905625,0.05970422020327537,-0.2838573629069041,0.6864548847523649,3.6488935598471657,0.0561064726816588,True,178
14,-0.8366087003004095,0.14969146365848873,0.41314406176245233,0.2923446059302031,-1.6463710613548161,-0.02684633924600288,-0.4233039639647094,0.7226868912816868,3.437206075115064,0.06374340138243662,True,210
15,-0.7005381541504841,0.10235313949443708,0.3882539927708701,0.26297753297594223,-1.4615159799813895,0.06043967168042119,-0.4130828251384097,0.6177891041272838,2.822677535403901,0.092941246241102,True,209
16,-1.2147140331806963,0.28837427062024035,0.6939725844657375,0.2575895467080331,-2.5749002987335414,0.14547223237214912,-0.21650124092750445,0.7932497821679851,3.1879822185076385,0.07418152347318241,True,178
17,-0.4057710547211473,-0.12827048668833457,0.3738717994914805,0.26758860198398066,-1.138559781724449,0.3270176722821545,-0.6527441465769366,0.3962031732002675,0.3949239255575395,0.5297224663463411,False,207
18,-0.5472655461728557,-0.09451578160891343,0.37442542824645725,0.25787656872911424,-1.281139385535912,0.18660829319020045,-0.5999538563179773,0.41092229310015044,1.0472800158455924,0.30613435630538255,False,206
19,-0.9965201872230834,0.15958821666032083,0.662723059887881,0.20999819709173248,-2.2954573846033304,0.3024170101571634,-0.25200824963947477,0.5711846829601165,2.6503821736705335,0.10352500470580206,False,178
20,-0.2760117059742793,-0.16878517870038956,0.4619082044578805,0.31867329787538246,-1.1813517867117251,0.6293283747631664,-0.7933848425361392,0.45581448513536005,0.03722683250130653,0.8470039510423919,False,205
21,-0.3337448575970777,-0.09807696253602927,0.38776710799983766,0.313463676001153,-1.0937683892767596,0.4262786740826041,-0.7124657674982892,0.5163118424262306,0.2170378086434348,0.6413062882466967,False,204
22,-1.214284309177923,0.05456334955110553,0.7572424433055579,0.1997224303679104,-2.698479498056816,0.2699108797009704,-0.33689261396999887,0.44601931307220993,2.548224469256586,0.11041828078468685,False,177
23,-0.2829342022283805,-0.15487178319796052,0.5215092984343328,0.25976535622978986,-1.3050924271596729,0.7392240227029119,-0.6640118814083487,0.35426831501242756,0.05327869470325759,0.817453259112647,False,203
24,-0.16327776985872236,-0.11836110672138639,0.4914510956618543,0.22525231880544924,-1.1265219173559569,0.7999663776385121,-0.5598556515800669,0.3231334381372941,0.008051267300821854,0.9285026859764669,False,202
