meeting_date,hawkishness_im,uncertainty_im,dissent_detected,fg_type,fg_direction,inflation_outlook,growth_prospects,labor_market,speech_hawkishness,agg_econ_index,expected_change_bp,entropy,modal_outcome,hawkishness_index_ii,policy_uncertainty,p_hold,dfr_actual_bp,dfr_surprise_mech,dfr_surprise_sal,dfr_surprise_norm,dfr_direction,mro_surprise_mech,post2015,t
1999-03-04,-0.1,0.6,False,Delphic,hold,-0.3909090909090909,-0.10454545454545455,-0.022727272727272724,0.48,-0.2314,1.035,0.5154,hold,0.0207,0.3202,0.8523,0.0,-1.035,0.1598,,no_surprise,-1.035,0,0
1999-03-18,-0.15,0.55,False,Delphic,hold,-0.2525,-0.13999999999999999,0.034999999999999996,0.43,-0.1613,0.0,-0.0,hold,0.0,-0.0,1.0,0.0,0.0,-0.0,,no_surprise,0.0,0,1
1999-04-08,-0.1,0.6,False,Delphic,ambiguous,-0.3611111111111111,-0.19444444444444445,0.022222222222222223,0.3429,-0.2344,-0.2025,0.3949,hold,-0.0041,0.2454,0.8997,-50.0,-49.7975,13.8155,,dovish_surprise,-49.7975,0,2
1999-04-22,-0.9,0.2,False,Delphic,ambiguous,-0.40476190476190477,-0.2571428571428572,-0.05714285714285714,0.2,-0.291,-6.63,0.5626,hold,-0.1326,0.3496,0.8335,0.0,6.63,0.1821,,hawkish_surprise,6.63,0,3
1999-05-06,-0.9,0.2,False,Delphic,ambiguous,-0.3111111111111111,-0.30000000000000004,0.00555555555555556,0.1817,-0.2444,-9.3825,0.7749,hold,-0.1877,0.4815,0.7163,0.0,9.3825,0.3337,,hawkish_surprise,9.3825,0,4
1999-05-20,-0.6,0.2,False,Delphic,hold,-0.1717391304347826,-0.10434782608695654,0.004347826086956525,0.32,-0.1163,-0.5475,0.3981,hold,-0.0109,0.2474,0.8979,0.0,0.5475,0.1077,,no_surprise,0.5475,0,5
1999-06-02,-0.4,0.3,False,None,hold,-0.1675,-0.20249999999999999,0.0,0.3767,-0.1445,-1.8225,0.5281,hold,-0.0365,0.3281,0.8421,0.0,1.8225,0.1719,0.0908,no_surprise,1.8225,0,6
1999-06-17,-0.1,0.4,False,Delphic,hold,-0.196875,-0.153125,-0.0296875,0.3312,-0.1503,-0.16,0.3948,hold,-0.0032,0.2453,0.8998,0.0,0.16,0.1056,0.0085,no_surprise,0.16,0,7
1999-07-01,-0.1,0.3,False,Delphic,hold,-0.21363636363636362,-0.1181818181818182,-0.02424242424242424,0.5188,-0.1471,-0.105,0.3944,hold,-0.0021,0.2451,0.8999,0.0,0.105,0.1055,0.006,no_surprise,0.105,0,8
1999-07-15,-0.1,0.4,False,Delphic,ambiguous,-0.12222222222222223,-0.1166666666666667,-0.12777777777777777,0.4267,-0.1217,-0.08,0.3943,hold,-0.0016,0.245,0.9,0.0,0.08,0.1054,0.0048,no_surprise,0.08,0,9
1999-07-29,0.27,0.38,False,Delphic,hike,-0.085,-0.23500000000000001,-0.08499999999999999,0.535,-0.13,5.1825,0.6867,hold,0.1037,0.4267,0.727,0.0,-5.1825,0.3188,-0.3269,dovish_surprise,-5.1825,0,10
1999-08-26,0.4,0.4,False,Delphic,hike,-0.096,0.028000000000000008,0.02,0.0,-0.0356,6.6525,0.6898,hold,0.1331,0.4286,0.6939,0.0,-6.6525,0.3654,-0.4398,dovish_surprise,-6.6525,0,11
1999-09-09,0.28,0.4,False,Delphic,hike,0.012499999999999995,0.153125,-0.0031249999999999993,0.25,0.0516,7.3925,0.6508,hold,0.1479,0.4044,0.7186,0.0,-7.3925,0.3305,-0.5095,dovish_surprise,-7.3925,0,12
1999-09-23,0.5,0.4,False,Delphic,hike,-0.024999999999999998,0.12142857142857143,-0.0071428571428571435,0.335,0.0225,6.74,0.7414,hold,0.1348,0.4607,0.7504,0.0,-6.74,0.2871,-0.4641,dovish_surprise,-6.74,0,13
1999-10-07,0.1375,0.6125,False,Delphic,hike,0.020967741935483866,0.09193548387096771,-0.0032258064516129024,0.3111,0.0374,4.6675,0.7218,hold,0.0934,0.4485,0.7792,0.0,-4.6675,0.2495,-0.3224,no_surprise,-4.6675,0,14
1999-10-21,0.8,0.4,False,Delphic,hike,0.08499999999999999,0.27499999999999997,0.0,0.2511,0.125,9.61,0.8634,hold,0.1922,0.5365,0.6184,0.0,-9.61,0.4806,-1.8703,dovish_surprise,-9.61,0,15
1999-11-04,0.48,0.38,False,Delphic,hike,0.165,0.295,-0.024999999999999998,0.24,0.166,14.4475,1.0598,hike_standard,0.2889,0.6585,0.412,50.0,35.5525,2.5421,6.9836,hawkish_surprise,35.5525,0,16
1999-11-18,0.85,0.3,False,Delphic,hike,0.18333333333333332,0.24833333333333338,0.075,0.2686,0.1812,15.8925,1.0426,hike_standard,0.3179,0.6478,0.4112,0.0,-15.8925,0.8887,-1.3972,dovish_surprise,-15.8925,0,17
1999-12-02,0.88,0.37,False,Delphic,ambiguous,0.1724137931034483,0.22413793103448276,0.017241379310344827,0.3614,0.1569,11.795,1.0194,hold,0.2359,0.6334,0.5625,0.0,-11.795,0.5754,-0.9693,dovish_surprise,-11.795,0,18
1999-12-15,0.3,0.6,False,Delphic,ambiguous,0.1357142857142857,0.28214285714285714,-0.007142857142857145,0.197,0.1511,8.5425,0.6422,hold,0.1709,0.399,0.6583,0.0,-8.5425,0.4181,-0.687,dovish_surprise,-8.5425,0,19
2000-01-05,0.35,0.37,False,Delphic,hike,0.1275862068965517,0.30689655172413793,0.034482758620689655,0.0,0.1628,8.1625,0.8642,hold,0.1633,0.537,0.6434,0.0,-8.1625,0.441,-0.6529,dovish_surprise,-8.1625,0,20
2000-01-20,0.325,0.525,False,Delphic,ambiguous,0.3071428571428571,0.4446428571428571,0.0732142857142857,0.66,0.3016,11.225,0.947,hold,0.2245,0.5884,0.5294,0.0,-11.225,0.636,-0.8967,dovish_surprise,-11.225,0,21
2000-02-03,0.7,0.4,False,Odyssean,hike,0.33749999999999997,0.4321428571428572,0.08928571428571429,0.44,0.3162,15.99,0.9505,hold,0.3198,0.5906,0.4616,25.0,9.01,0.8278,0.7154,hawkish_surprise,9.01,0,22
2000-02-17,0.48,0.48,False,Delphic,ambiguous,0.24423076923076925,0.46923076923076923,0.0423076923076923,0.605,0.2713,11.0075,0.9352,hold,0.2202,0.5811,0.591,0.0,-11.0075,0.5259,-0.8353,dovish_surprise,-11.0075,0,23
2000-03-02,0.57,0.47,False,Delphic,hike,0.2793103448275862,0.39655172413793105,0.04482758620689655,0.015,0.2676,16.075,0.9705,hold,0.3215,0.603,0.4741,0.0,-16.075,0.7463,-1.2078,dovish_surprise,-16.075,0,24
2000-03-16,0.63,0.42,False,Odyssean,hike,0.29516129032258065,0.267741935483871,0.04516129032258064,0.235,0.2369,20.05,1.0234,hike_standard,0.401,0.6359,0.3387,25.0,4.95,0.6824,0.3615,no_surprise,4.95,0,25
2000-03-30,0.6,0.5,False,Odyssean,hike,0.3435483870967742,0.29354838709677417,0.12258064516129033,0.165,0.2844,16.5525,0.9803,hold,0.331,0.6091,0.4615,0.0,-16.5525,0.7733,-1.1871,dovish_surprise,-16.5525,0,26
2000-04-13,0.75,0.4,False,Delphic,hike,0.48333333333333334,0.39999999999999997,0.14545454545454545,0.328,0.3908,13.175,0.6917,hike_standard,0.2635,0.4298,0.473,0.0,-13.175,0.7487,-0.9166,dovish_surprise,-13.175,0,27
2000-04-27,0.82,0.33,True,Delphic,hike,0.44264705882352945,0.4485294117647059,0.13088235294117645,0.33,0.3821,21.8775,0.9983,hike_standard,0.4376,0.6203,0.2666,25.0,3.1225,0.5607,0.2153,no_surprise,3.1225,0,28
2000-05-11,0.77,0.42,False,Odyssean,hike,0.3472222222222222,0.27083333333333337,0.01666666666666667,0.185,0.2582,16.88,0.6304,hike_standard,0.3376,0.3917,0.3248,0.0,-16.88,1.1245,-2.0148,dovish_surprise,-16.88,0,29
2000-05-25,0.45,0.23,False,Delphic,hike,0.3485714285714286,0.27714285714285714,0.06857142857142857,0.1183,0.2711,12.7475,0.9105,hold,0.255,0.5657,0.516,0.0,-12.7475,0.6616,-1.5068,dovish_surprise,-12.7475,0,30
2000-06-08,0.7,0.3,False,Delphic,ambiguous,0.40769230769230774,0.3615384615384616,-0.03333333333333333,0.35,0.3056,17.485,0.919,hike_standard,0.3497,0.571,0.3882,50.0,32.515,2.4361,3.8255,hawkish_surprise,32.515,0,31
2000-06-21,0.75,0.33,True,Delphic,ambiguous,0.27999999999999997,0.31375000000000003,-0.038750000000000014,0.355,0.2264,13.235,1.0403,hold,0.2647,0.6464,0.5064,0.0,-13.235,0.6804,-0.9405,dovish_surprise,-13.235,0,32
2000-07-06,0.9,0.3,False,Delphic,hike,0.29743589743589743,0.28974358974358977,-0.012820512820512832,0.6475,0.2331,16.735,0.9648,hike_standard,0.3347,0.5995,0.4416,0.0,-16.735,0.8174,-1.1747,dovish_surprise,-16.735,0,33
2000-07-20,0.5,0.4,False,Delphic,hike,0.46621621621621623,0.47837837837837843,0.1891891891891892,0.324,0.4145,9.9875,0.6728,hold,0.1998,0.418,0.6005,0.0,-9.9875,0.51,-0.6878,dovish_surprise,-9.9875,0,34
2000-08-03,0.55,0.35,False,Delphic,hold,0.45972222222222214,0.4708333333333333,0.18888888888888888,0.0,0.4089,11.0825,0.8899,hold,0.2216,0.5529,0.5694,0.0,-11.0825,0.5632,-0.7992,dovish_surprise,-11.0825,0,35
2000-08-31,0.45,0.45,False,Delphic,hold,0.49696969696969695,0.3272727272727272,0.09090909090909091,0.0,0.3648,12.9025,0.8273,hold,0.2581,0.514,0.523,25.0,12.0975,0.8258,0.8723,hawkish_surprise,12.0975,0,36
2000-09-14,0.425,0.35,False,Delphic,hold,0.42714285714285716,0.3457142857142857,0.11142857142857143,0.0,0.3396,6.815,0.7415,hold,0.1363,0.4607,0.7049,0.0,-6.815,0.3497,-0.4691,dovish_surprise,-6.815,0,37
2000-10-05,0.75,0.3375,False,Delphic,hike,0.4228571428571429,0.38857142857142857,0.13428571428571429,0.1442,0.3549,16.6625,1.0113,hold,0.3333,0.6284,0.4431,25.0,8.3375,0.8463,0.5859,hawkish_surprise,8.3375,0,38
2000-10-19,0.7,0.4,False,Delphic,ambiguous,0.5121212121212121,0.4333333333333333,0.1909090909090909,-0.0133,0.4242,7.705,0.9002,hold,0.1541,0.5593,0.6462,0.0,-7.705,0.4366,-0.5379,dovish_surprise,-7.705,0,39
2000-11-02,0.1,0.4,False,Delphic,ambiguous,0.509090909090909,0.39696969696969703,0.2090909090909091,0.2433,0.4155,5.9275,0.8884,hold,0.1186,0.552,0.6798,0.0,-5.9275,0.386,-0.4203,dovish_surprise,-5.9275,0,40
2000-11-16,0.55,0.5,False,Delphic,ambiguous,0.3025,0.26,0.0675,0.4925,0.2428,9.81,0.7912,hold,0.1962,0.4916,0.6215,0.0,-9.81,0.4756,-0.7016,dovish_surprise,-9.81,0,41
2000-11-30,0.5,0.525,False,Delphic,ambiguous,0.30125,0.2575,0.08249999999999999,0.2957,0.2444,12.01,1.028,hold,0.2402,0.6387,0.5314,0.0,-12.01,0.6322,-0.885,dovish_surprise,-12.01,0,42
2000-12-14,0.55,0.55,False,Delphic,ambiguous,0.3461538461538462,0.23717948717948714,0.13205128205128203,0.2367,0.2706,13.4375,0.9799,hold,0.2687,0.6088,0.5144,0.0,-13.4375,0.6648,-0.9932,dovish_surprise,-13.4375,0,43
2001-01-04,0.25,0.45,False,Delphic,hike,0.3861111111111111,0.22777777777777775,0.12222222222222223,0.1467,0.2858,7.495,0.8086,hold,0.1499,0.5024,0.7073,0.0,-7.495,0.3463,-0.8986,dovish_surprise,-7.495,0,44
